Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster
1,Foundations of Biology,BIO101,FOB,None,None,None,Winter,,4,1
2,Introduction to Quantitative Biology,BIO213,IQB,None,None,None,Winter,,4,1
3,Genetics and Molecular Biology,BIO2GMB,GMB,None,None,None,Monsoon,Gaurav Ahuja,4,1
4,Cell Biology and Bio-Chemistry,BIO501,CBB,None,None,None,Monsoon,Arjun Ray,4,1
5,Stochastic Simulations in Systems Biology and Biophysics,BIO506,SSSBB,BIO531,None,None,Monsoon,,4,1
6,Foundations of Modern Biology,BIO512,FOMB,None,None,BIO601,Monsoon,Vibhor Kumar,4,1
7,Practical Bioinformatics,BIO521,PB,None,CSE102,None,Monsoon,,4,1
8,Algorithms in Computational Biology,BIO522,ACB,None,None,None,Monsoon,,4,1
9,Chemoinformatics,BIO523,ChemInfo,None,None,None,Winter,,4,1
10,Introduction to Mathematical Biology,BIO531,IMB,MTH100,"Molecular biology and biochemistry, cell biology",BIO303/BIO503,Winter,,4,1
11,Network Biology,BIO532,NB,None,CSE102,None,Monsoon,Ganesh Bagler,4,1
12,Systems and Synthetic Biology,BIO533,S&SB,"""BIO531,BIO501""",MTH201,None,Winter,Sriram K,4,1
13,Introduction to Computational Neuroscience,BIO534,ICN,None,"Calculus, linear algebra and ODE/PDE and coding in MATLAB",None,Winter,,,1
14,Data Sciences and Genomics,BIO541,DSG,None,None,None,Winter,Vibhor Kumar,4,1
15,Machine Learning and Biomedical Applications,BIO542,MLBA,None,None,None,Monsoon,GPS Raghava,4,1
16,Big Data Mining in Healthcare,BIO543,BDMH,None,None,None,Winter,GPS Raghava,4,1
17,Network Science,BIO571,NS,None,CSE102,None,Winter,,4,1
18,Communication Skills,COM101,COM,None,None,None,Monsoon,"""Payel C Mukherjee, Rekha Shorey, Honey Jhalani, Utkrishti Taneja, Syeda Asia, Deepti Sharma, Devika N""",4,2
19,Technical Communication,COM301A,TCOM,None,None,None,Monsoon,,2,2
20,Introduction to Programming,CSE101,IP,None,None,None,Monsoon,"""Vikram Goyal, V Raghava Mutharaju""",4,3
21,Data Structures & Algorithms,CSE102,DSA,CSE101,None,None,Winter,"Rahul Purandare, Arun Balaji",4,3
22,Computer Organization,CSE112,CO,"""ECE111""",None,None,Monsoon,Naveen Prakash(V),4,3
23,Discrete Mathematics,CSE121,DM,None,None,None,Monsoon,Samrith Ram,4,3
24,Systems Management,CSE131,SM,None,None,None,Monsoon,,4,3
25,Advanced Programming,CSE201,AP,"""CSE101, CSE102""",None,None,Monsoon,Vivek Kumar,4,3
26,Fundamentals of Database Management System,CSE202,DBMS,"""CSE102""",None,None,Winter,,4,3
27,Algorithm Design and Analysis,CSE222,ADA,"""CSE102""",None,None,Winter,Rajiv Raman,4,3
28,Operating Systems,CSE231,OS,CSE102,None,None,Winter,,4,3
29,Computer Networks,CSE232,CN,"""CSE101, CSE231, CSE222""",None,None,Monsoon,,4,3
30,Network Administration,CSE233,NAdmn,None,CSE230,None,Winter,,2,3
31,Computer Architecture and Operating Systems,CSE234,CAOS,None,Programming,None,Monsoon/Winter,Sambuddho Chakravarty,4,3
32,Compilers,CSE301/CSE601,CMP,"""MTH100, CSE101, CSE201, CSE102""",None,None,Monsoon,Piyus Kedia,4,3
33,Modern Algorithm Design,CSE319/CSE519,MAD,CSE222,None,None,Monsoon,Syamantak Das,4,3
34,Advanced Algorithms,CSE320/CSE520,AA,"""CSE102""",None,None,Monsoon,,4,3
35,Theory of Computation,CSE322,ToC,CSE121,None,None,Winter,Debajyoti Bera,4,3
36,Computer Graphics,CSE333/CSE533,CG,"""CSE101""","""CSE102""",None,Monsoon,Ojaswa Sharma,4,3
37,Statistical Machine Learning,CSE342/CSE542,SML,"""CSE101,MTH201""",None,None,Winter,Richa Singh,4,3
38,Machine Learning,CSE343/CSE543,ML,"""MTH100, MTH201, CSE101, MTH203""",None,None,Monsoon,Saket Anand,4,3
39,Computer Vision,CSE344/CSE544/ECE344/ECE544,CV,"""MTH100""","""CSE540,ECE351""",None,Winter,Saket Anand,4,3
40,Foundations of Computer Security,CSE345/CSE545,FCS,None,"""CSE232""",None,Monsoon,Arun Balaji,4,3
41,Complexity Theory,CSE421/CSE621,CT,None,None,None,Monsoon,,4,3
42,Intelligent Systems 1,CSE440,IS-I,None,None,None,Winter,,,3
43,Advanced Biometrics,CSE441/CSE541,BIOM,None,"""MTH201, CSE343/CSE543""",None,Winter,Mayank Vatsa,4,3
44,Designing Human Centered Systems,CSE501,DHCS,None,None,None,Monsoon,Ponnurangam Kumaraguru,4,3
45,Foundations of Parallel Programming,CSE502,FPP,"""CSE101, CSE102, CSE201""",None,None,Winter,,4,3
46,Program Analysis,CSE503,PA,"""CSE102, CSE201""",CSE322,None,Monsoon,Rahul Purandare,4,3
47,Data Mining,CSE506,DMG,"""CSE202, CSE101, MTH100, MTH201""",Programming in Java,None,Monsoon,Vikram Goyal,4,3
48,Database System Implementation,CSE507,DBSI,"""CSE202, CSE102""",None,None,Monsoon/Winter,Viswanath Gunturi,4,3
49,Information Retrieval,CSE508,IR,"""CSE102,CSE201,CSE202""",ECE5ML,None,Winter,,4,3
50,Big Data Analytics,CSE510,BDA,"""CSE202""","""CSE343/CSE543,CSE506""",None,Winter,Vikram Goyal,2,3
51,Computer Architecture,CSE511/ECE511,CA,None,None,None,Monsoon,Sujay Deb,4,3
52,Randomized Algorithms,CSE523,RA,"""CSE222,CSE121,MTH201""",None,None,Winter,Rajiv Raman,4,3
53,Theory of Modern cryptography,CSE524,TMC,None,"""CSE121,CSE546""",None,Monsoon,,4,3
54,Graduate Algorithms,CSE525,GA,"""CSE222""",None,None,Monsoon,,,3
55,Convex Optimization,CSE528/ECE528,CO,"""CSE344/CSE544/ECE344/ECE544""",None,None,Monsoon,,2,3
56,Approximation Algorithms,CSE529,AAG,"""CSE222""",None,None,Winter,Syamantak Das,*not found*,3
57,Distributed Systems Security,CSE530,DSS,None,None,None,Winter,,,3
58,Multi-Agent Systems,CSE531,MAS,None,None,None,Monsoon/Winter,,4,3
59,Mobile Computing,CSE535,MC,CSE101,"""CSE231, CSE232, CSE201""",None,Monsoon,Pushpendra Singh,4,3
60,Wireless Networks,CSE538/ECE538,WN,CSE232,"""CSE231,CSE201""",None,Winter,Mukulika Maity,4,3
61,Applied Cryptography,CSE546,AC,"""CSE121""",None,None,Monsoon,,4,3
62,Natural Language Processing,CSE551,NLP,CSE101,None,None,Monsoon,Tanmoy Chakraborty,4,3
63,Security Engineering,CSE552,SE,CSE231,CSE335/CSE545,None,Monsoon,,4,3
64,Introduction to Spatial Computing,CSE555,ISC,None,None,None,Monsoon,Vishwanath Gunturi,,3
65,Data Science,CSE558,DS,"""CSE101""","""MTH100""",None,Monsoon,Debarka Sengupta,4,3
66,Mining Large Networks,CSE559,MLN,"""CSE222, CSE101, MTH201"" ","Any Machine Learning course (ML/SML/AML/DL), Graph theory ",None,Monsoon,Tanmoy Chakraborty,4,3
67,GPU Computing,CSE560,GPU,"""CSE101""","""CSE102""",None,Winter,,4,3
68,Probabilistic Graphical Models,CSE561,PGM,MTH201,None,None,Winter,,4,3
